T5.K4.652.A98542 K6.QJT976.QT7.Q6 432.A.AKJ93.JT73 AQJ987.8532.84.K:65658888888843433232
J2.QJ7.J943.AQT3 873.AK8653.T6.J8 K65.T42.K82.7652 AQT94.9.AQ75.K94:8888AAAAAAAA88889798
QJ9.QJ2.KT42.K72 K32.AT97543.86.A 8754.6.AQ97.T943 AT6.K8.J53.QJ865:87877777AAAA75757777
AJ9765.85.64.942 T3.KJT62.QJ95.KQ 8.743.KT872.A876 KQ42.AQ9.A3.JT53:BBBB8888BABA8888AAAA
8.765.AKT975.KJ7 KJ9742.Q8.Q6.T54 Q.KJT942.83.Q862 AT653.A3.J42.A93:88889898333344445454
AT8.AQJT.73.AT75 Q.976532.QJT.J86 K96432.K8.52.Q93 J75.4.AK9864.K42:62622121656588884343
.JT7.K965.KJT852 9652.A2.JT32.A97 AKJT743.K964.AQ. Q8.Q853.874.Q643:33332222222244444343
T95.Q84.J975.K43 KQ32.J732.A863.8 AJ4.AKT95.T2.AQT 876.6.KQ4.J97652:44446565333365657676
AK743.J75.983.T4 T96.AT2.T654.852 52.84.KQJ2.AJ973 QJ8.KQ963.A7.KQ6:87876666989876765555
Q87.AKT74.6.A654 AKJ62..AQJ5.Q832 T54.QJ8653.K42.T 93.92.T9873.KJ97:6565B8884343AAAAAAAA
QT98.9542.AJ63.6 53.A76.9854.QT83 A2.T83.QT7.A9752 KJ764.KQJ.K2.KJ4:77777777656665657777
3.KQJT832.Q5.T95 T854.65.AJ98.AQJ AKQJ2..T732.K832 976.A974.K64.764:77767776434377776464
94.KQ864.AQJT.Q8 A6.A52.K983.A973 8752.J973.64.T42 KQJT3.T.752.KJ65:BABABBBB6666AAAACCCC
874.A742.842.AK7 .KQ865.KQ763.852 T32.T93.T.QJT963 AKQJ965.J.AJ95.4:C6C6CBCBB999CBCB6666
Q842.AT7.876.742 AJ6.KJ864.T2.Q93 975.Q2.KQ54.AJT6 KT3.953.AJ93.K85:99988787999988888888
AJT73.AQ963.76.2 62.JT5.KJ32.Q985 KQ985.7.QT4.AKJ7 4.K842.A985.T643:32322020424254544343
JT6.QJ976.542.74 K942..J87.AKJ532 Q87.3.AKQT6.QT96 A53.AKT8542.93.8:77778888989876769999
84.AQJ97.QT76.K9 632.T2.K85.T8742 AKQJT75.864.J93. 9.K53.A42.AQJ653:31312121202043438888
A873.J3.Q74.AJ86 654.KT87654.6.K3 KQ2.9.AJT982.T74 JT9.AQ2.K53.Q952:77774343888833334444
QJ43.984.643.QT4 AKT6.QT.K92.AKJ8 98752.K632.AQ8.5 .AJ75.JT75.97632:BBBB8888AAAABBBBCCCB
95.KJT32.86.AKT4 J8.AQ985.J74.873 AT632.764.Q952.5 KQ74..AKT3.QJ962:88887777767688889999
KQ9.97.AKJT85.84 A6.K543..KJT9632 T873.Q8.Q9764.AQ J542.AJT62.32.75:65655555AAAA3333AAAA
Q42.AKT8..AKQJ86 J986.J643.Q98.T4 AK.Q.AKT6532.753 T753.9752.J74.92:00002222111111110000
K843.K94.84.J986 Q65.QT72.KJ652.Q T9.A5.QT973.AT52 AJ72.J863.A.K743:77777777989866666666
853.AT75.87.AQ93 2.Q98643.AQ54.75 9.J2.KJT32.KJT82 AKQJT764.K.96.64:9797A9A9666654543333
AK.AJ3.9762.J976 86.K62.AQJ54.K42 QT432.Q85.K8.A53 J975.T974.T3.QT8:66665555666676765555
AK98.JT65.9642.K QT4.K3.QJT83.QJ2 J2.A74.A5.987654 7653.Q982.K7.AT3:88887777545486866666
QT.KT654.J632.43 954.AJ3.AQ84.Q85 AKJ87.982.KT.KT7 632.Q7.975.AJ962:88887676555588889999
AQ32.A.9743.KQ98 854.KQ8752.KT.42 6.964.AQ8652.A73 KJT97.JT3.J.JT65:00005454666600000000
AJ.Q643.84.AJ753 K6542.AT.97.KQ82 Q8.KJ9872.J2.T64 T973.5.AKQT653.9:B8B8BBBB6565BBBB7776
743.9754.Q752.Q5 KT5.8.KJ63.KJT74 AQ98.AKT.AT8.A86 J62.QJ632.94.932:66655444555555547666
AJ.A53.AJT6543.5 9754.874.872.AJ2 8632.KQT2.K.T874 KQT.J96.Q9.KQ963:51515454111111117777
JT754.A7.Q87.KT3 32.K954.AJ5432.7 Q86.Q32.96.QJ984 AK9.JT86.KT.A652:AAAA8787BBBBBBBB7777
KQ865.AJT65.3.KJ T7.K82.AKJ54.AT9 AJ92.9743.T962.6 43.Q.Q87.Q875432:76763333333399999999
84.T865.752.T642 AQT763.A9.T64.K9 92.KJ.QJ98.QJ753 KJ5.Q7432.AK3.A8:CCCCCCCCBBBAA9A97777
KT3.T85.A62.A963 A987.AQJ62.K7.85 J6542.K4.QJ83.74 Q.973.T954.KQJT2:77775555AAA876768888
985.6.AKQ.AKJ952 A6.KT752.8764.T7 KJ74.Q4.T53.Q864 QT32.AJ983.J92.3:64645555888877773333
74.T432.T9.QT974 J86.KJ75.QJ72.J8 AKQT95.AQ9.K43.2 32.86.A865.AK653:65646564545477876565
A6.973.QT54.AKT6 2.AKJT652.K86.QJ KJT8.8.J93.85432 Q97543.Q4.A72.97:95967777999955553333
QT83.AQ3.AQ65.KQ A52.982.98742.95 K6.T7654.KJ3.T87 J974.KJ.T.AJ6432:32325353222233336666
.AK875.AJ83.KJ72 Q86.JT42.KQ752.3 AT7532.3.9.AT964 KJ94.Q96.T64.Q85:44444343333365651111
KT942.AK3.Q.JT52 876.T642.A653.83 AQ3.J85.K9874.Q7 J5.Q97.JT2.AK964:44443333555544545565
KQ6.Q7.KJT943.A8 A973.AKT964.A8.J T42.J32.75.K7542 J85.85.Q62.QT963:85769888888865668787
A62.QJT.732.KQJ7 KQT.K93.AJ96.943 8753.6.KT54.A852 J94.A87542.Q8.T6:76766666888866665555
T865.K842.Q3.Q94 J97.AQ6.72.KJ753 AKQ2.JT973.AK5.8 43.5.JT9864.AT62:7676434333339898A999
J72.AQ83.KJ.K983 AT93.92.93.AJT72 K85.KJ76.Q2.Q654 Q64.T54.AT87654.:86867777556599996666
T9.A.QT752.AKJ32 Q52.J632.J63.954 AJ6.QT75.AK84.QT K8743.K984.9.876:11114444444400001111
7652.QJ7.3.AKQ32 JT43.A982.54.J64 K.K643.KJ97.T975 AQ98.T5.AQT862.8:8888A9A9666699A94444
KQ8.J3.K942.A765 J94.A9765.QJ8.42 T752.KT2.A73.K93 A63.Q84.T65.QJT8:54554444666654545555
8.T853.T5.KQT854 AKQT2.KJ4.KQ93.J J93.Q9762.J87.A3 7654.A.A642.9762:B7B7CCCC6666CCCC6565
QJ2.Q8.AKJT94.AT AK93.97.876.K954 T86.KJ65.2.Q8762 754.AT432.Q53.J3:44445555656644445454
KQ3.T84.643.9872 J76.AQ95.AJ82.KQ 9854.62.KQ9.A643 AT2.KJ73.T75.JT5:88887777999998996666
AJT43.72.QT63.K2 Q852.Q.A975.AQJ8 6.KT864.KJ42.T94 K97.AJ953.8.7653:8888A9A999997777BBBB
KJ97632.6.984.93 AT84.KQ7432.J7.4 5.AJT.AQ62.AQT75 Q.985.KT53.KJ862:76765555999866666666
AKQJ754.KT5.J.J6 .J87.Q84.AKT9872 982.Q94.A76532.3 T63.A632.KT9.Q54:8585222287777565A9A9
AJ74.T964.KQJ94. KQT.AJ2.T862.QJ7 3.K8753.53.A9853 98652.Q.A7.KT642:76768888333354548787
AQ7.AKJ.A9.AQ854 KJT983.532.K.KJ3 654.Q76.QT632.T9 2.T984.J8754.762:43335555433343334333
JT62.7.AJ86.AT93 A975.AQJ6.QT95.4 Q.K9532.K4.KQJ85 K843.T84.732.762:54446666555565552222
52.4.AQ83.T98432 KT4.A9752.975.65 AJ93.KJT86.T.QJ7 Q876.Q3.KJ642.AK:65657776666677774343
9.32.AQ754.T9762 Q8.KQJT854.63.54 7542.76.92.AQJ83 AKJT63.A9.KJT8.K:D6D6DADADADA55554343
Q65.9.Q98654.J65 KT32.K432.2.K987 9.AT876.AKJ.AT43 AJ874.QJ5.T73.Q2:55559898777732325555
KJ73.T7652.63.42 A84.A4.T874.QJ93 QT.KJ83.J.AKT875 9652.Q9.AKQ952.6:999888874443AAA95555
K4.J765.JT3.JT72 A972.Q982.74.A64 QJT8.3.AQ86.KQ85 653.AKT4.K952.93:77777777989865754454
754.K87.T9.97543 3.JT5.AKJ6532.AT 98.632.Q87.KQJ86 AKQJT62.AQ94.4.2:CCCCDCDCCCCCCCCC7777
73.Q9.K9842.T632 AJ862.K832.5.Q74 KQ95.76.J76.KJ98 T4.AJT54.AQT3.A5:AAA9BABACCCB77777777
AT4.K9864.J6.Q53 98.A7.T7542.K964 K72.J32.AQ983.AJ QJ653.QT5.K.T872:43435555323244446565
Q8.K6542.AKQ5.A5 AKJ54.A3.T432.Q2 762.QJ9.9876.K83 T93.T87.J.JT9764:66668888545444449898
9.T42.9543.KQT97 A843.J63.Q762.52 K765.AQ97.KT.J63 QJT2.K85.AJ8.A84:87979999667687976565
KQ4.KQ4.Q843.Q73 98653.AJ6.A6.A42 7.T9752.95.T9865 AJT2.83.KJT72.KJ:A9AABBBB8888A9AA7777
AT65.QT5.JT5.532 87432.K964.A2.J6 KQJ9.A3.Q9864.KT .J872.K73.AQ9874:88886666BABA5565BBBB
5.AK74.Q54.Q9543 K762.3.J98763.K6 QJ9.T92.KT2.AT82 AT843.QJ865.A.J7:6565AAAA666688874444
86.AKJ.K9865.T92 KT2.7643.2.KQ765 AQJ9543.QT.3.AJ4 7.9852.AQJT74.83:21212221656565655554
9.9754.J976.AJ76 AKQT5.AQJ32.32.4 864.K.AKT54.K985 J732.T86.Q8.QT32:A4A4BABAAAAA22224344
KJT976.A54.T7.Q6 42.Q76.AQ8652.KT Q5.KT93.K43.J975 A83.J82.J9.A8432:85855454666688887676
.AJ98764.T53.KQ4 Q764.532.QJ.J875 J93.K.K87642.963 AKT852.QT.A9.AT2:99999999333333538888
875.J984.JT8.A83 A4.75.A7532.KQ65 T62.632.Q9.J9742 KQJ93.AKQT.K64.T:CCCCCCCCBBBBBBBBAAAA
97652.632.K52.94 QJ.97.AJT96.7532 T843.AKT8.73.K86 AK.QJ54.Q84.AQJT:BBBB777788A8BBBBBBBB
JT54.AK52.Q3.J84 8.T963.KT76.A962 Q972.84.A982.T53 AK63.QJ7.J54.KQ7:8888777799999999A9A9
AQT74.K7.2.AJ642 KJ2.QJ5.KQ95.KQ3 95.862.AJ873.985 863.AT943.T64.T7:87875555888877775444
K753.KJT.KJ5.Q94 T2.AQ942.Q984.JT AJ8.75.A632.AK32 Q964.863.T7.8765:33333333655543333333
KQ32.QJT4.AQ.874 J87..KJT9542.KT2 T54.9632.873.A53 A96.AK875.6.QJ96:A8A987888777BBBBA999
75.AJ9843.A8.KJT AQ9..KQJT943.A95 KJ862.Q652.5.862 T43.KT7.762.Q743:84864343222299996665
KT65.AK4.2.J9872 J98.T983.T873.A3 .QJ752.A954.T654 AQ7432.6.KQJ6.KQ:66669898444488882222
KQJ86.J87.J75.95 A9.QT652.32.T632 75.AK4.AKQT94.K8 T432.93.86.AQJ74:65654444777733338888
KJ8642.Q7.4.AKT2 Q5.AT54.AKT53.Q9 A73.KJ962.J97.J8 T9.83.Q862.76543:64642222434377776565
AKQ82.QJ82.K8.A8 J3.954.QT2.KQ753 7.KT73.J7543.J42 T9654.A6.A96.T96:66665555333354547777
52.K2.KT42.QJ942 AK974.Q976.A3.83 JT3.JT8.Q6.KT765 Q86.A543.J9875.A:A8A8BBBBBABA99995555
73.AK98.AK8.JT63 AQJ4.542.Q973.Q7 T98652.JT3.T652. K.Q76.J4.AK98542:87885554555555559798
KQ9.AQT84.86.752 J83.53.73.AKT864 AT72.J762.KQT.J3 654.K9.AJ9542.Q9:74743333434377777777
AKT953.A5.4.KT52 QJ2.KJT94.A952.3 76.87632.Q73.AQ9 84.Q.KJT86.J8764:66663333767699994444
J9653.K76.4.KQ97 Q.83.AKQJT832.J3 AK72.AT9542.9.84 T84.QJ.765.AT652:92922121212199995555
T.932.AJ85.KQ963 832.AJ874.Q962.4 AQ97654..K743.52 KJ.KQT65.T.AJT87:77773333AAAA43437575
A52.T43.876.AJT7 QJ8643.AK7.T32.2 T9.Q962.KQJ5.KQ6 K7.J85.A94.98543:85858888656565655555
7.KQ9765.J832.K2 KJ642.T3.AKT7.53 AQT983.4.Q96.Q97 5.AJ82.54.AJT864:88887676666665658888
KQJ4..AKQ974.AJ4 32.987532.J5.KT3 865.QJ4.T32.9872 AT97.AKT6.86.Q65:54645464999933335565
KQT8752.Q4.Q.873 43.KT86.T972.Q54 AJ6.A32.KJ843.T9 9.J975.A65.AKJ62:65654343A8A876769999
63.65.AK8763.K93 AJT.32.QT4.AT752 82.AKQT8.2.QJ864 KQ9754.J974.J95.:77779898546464744343
KT94.AT964.A6.Q7 Q72.7.932.AT9852 J86.2.KQJT875.J4 A53.KQJ853.4.K63:7575656588884444AAAA
5432.52.AQJ.KT97 QT97.AJ.95.AJ632 AK.KQT743.T643.4 J86.986.K872.Q85:33336565323233336666
84.K2.AJ7532.QJ8 52.T6.QT.AK97653 KJT.AQJ83.K864.2 AQ9763.9754.9.T4:92927777424241419999
KQ972.JT.J65.T73 AT54.AQ854.K2.92 J86.K97.Q83.AQJ4 3.632.AT974.K865:75756666AAAA98988787
K987.K96.KJ7.J98 AQT.QT7.Q9.AK532 632.A85432.A82.7 J54.J.T6543.QT64:8888777755558888AAAA
93.K2.98732.T953 AKQ762.Q96.K.KJ8 84.JT84.JT65.AQ2 JT5.A753.AQ4.764:AAAABBBB999977778888
K7..Q98642.AK432 AQT42.J85.J73.Q9 965.974.AKT5.J75 J83.AKQT632..T86:C2C2DADBCBCB21114252
K64.A843.6.AKQ82 QT52.2.Q7542.976 J3.KJT5.KT983.T3 A987.Q976.AJ.J54:43436666333355553333
QT72.AJT72.T5.J7 AJ8.KQ985.AK9.Q8 K95.64.63.AKT965 643.3.QJ8742.432:76766363666698984443
KJT9832..6.A9876 A6.AQ.QT7543.K54 Q4.J9852.J92.QJ3 75.KT7643.AK8.T2:BABA4343BBBBCBCB5353
KQ4.A52.Q97.K653 8762.KT63.63.Q82 AT953.Q.KJT84.T4 J.J9874.A52.AJ97:63633232999922227676
T97642.4.J8.QJ96 AQ5.KJT2.QT643.2 KJ8.7.AK975.KT73 3.AQ98653.2.A854:99995555CCCC77765555
JT8765.2.732.KT8 3.AK764.T6.AJ742 AK94.Q85.A54.965 Q2.JT93.KQJ98.Q3:55556555AAAAA8A89999
A54.632.KT754.73 QT8.AK95.J9862.8 KJ762.QJ4..AQ952 93.T87.AQ3.KJT64:66655555777788886666
752.432.JT.J9765 J4.AKT9875.K63.Q 863.6.A9754.AK32 AKQT9.QJ.Q82.T84:C7C7CBCBCBCB87875555
KQ2.952.AQ32.AQJ A653.QT3.J5.9865 J9.J86.K974.KT73 T874.AK74.T86.42:55557777666653534444
5.QJ942.KQT9.Q75 T98.T853.J.JT986 AQJ3.K6.87643.42 K7642.A7.A52.AK3:65659898666644449999
KT.JT93.Q6.AQ753 A732.A2.KT85.642 QJ986.Q8754.2.K8 54.K6.AJ9743.JT9:98985454434399995454
852.QJ62.863.AQT 94.T9875.Q952.42 K763.A.A74.J9876 AQJT.K43.KJT.K53:55656666778777775454
QJ863.J8.AJ9.Q76 AK.KT54.Q84.8532 T74.Q97632.KT.KJ 952.A.76532.AT94:65655555666688888888
7543.K95.T74.JT9 AJ2.743.KQJ82.A3 KQ98.AQT8.A6.Q76 T6.J62.953.K8542:76755555666587877777
AKJT93.AQJT.T.94 87.987643.A82.A7 642.K52.953.KT63 Q5..KQJ764.QJ852:737342425555AAAA9797
K932.T84.QT7.AQ3 AT6.KQJ3.AJ9863. Q84.972.K4.98542 J75.A65.52.KJT76:A8888888AAAAAAAA8888
KJT42.QJ84.KT.K2 863.9763.AJ9.AJ5 AQ7.KT2.762.9764 95.A5.Q8543.QT83:A8A855556666AAAAA9A9
8.2.J843.KQ98654 AKJ97.AT975.A72. QT43.K643.KQ5.T2 652.QJ8.T96.AJ73:8888A9A9999976764444
AQ64.7.43.QJT862 JT93.J.KJ62.AK43 85.AQ854.QT85.97 K72.KT9632.A97.5:86868888888888886565
52.K72.AJT3.K932 AT8.AT94.KQ76.Q7 K74.Q865.98542.4 QJ963.J3..AJT865:9999AAAA87776666AAAA
KJ32.KJ74.4.A932 954.A8.AJT96.J84 AQT.QT6532.832.T 876.9.KQ75.KQ765:86863333222297979797
J93.AKJ83.T73.J5 AK74.T7.KQ52.983 T52.Q9542.AJ.A72 Q86.6.9864.KQT64:65658888555599999999
QJ9652.72.KJ93.6 K873.AQJ4.7.K542 T.K8653.QT64.T97 A4.T9.A852.AQJ83:B9B9888898988787CCCC
AKQ9753.Q98.Q.K9 T86.6.AT964.QJ82 J42.T32.8753.AT7 .AKJ754.KJ2.6543:74744343AAAABABABABA
QT3.Q96.KQ543.93 J98.JT.872.T8642 K76.AK87.AJT.QJ5 A542.5432.96.AK7:33335555333333336666
QT42.Q98.J43.A72 J83.A64.9765.T43 A9765.KT.AQT.KJ5 K.J7532.K82.Q986:33333333556544545555
J987.8.QJ965.KT9 2.KJ543.T842.J42 AKQ64.Q97.K73.53 T53.AT62.A.AQ876:77774343BBBB5454BABA
A62.A62.AK.KJ952 9875.KJ85.87.876 KQJT.T9743.Q42.4 43.Q.JT9653.AQT3:33333333333355553333
AT7654.952.82.93 Q.KJ84.QJ743.J54 KJ983.T.AKT9.AT8 2.AQ763.65.KQ762:53531111999966658898
Q7.AK2.AJ54.9753 9654.J76.T982.A6 AT2.QT853.Q63.QJ KJ83.94.K7.KT842:44446666333344446666
AT862.K93.65.T97 K.Q6.J9874.AJ653 Q7543.AJT4.AQ.82 J9.8752.KT32.KQ4:53532222333399999999
J63.82.QJ6.96542 KT5.J9765.T92.QT AQ74.AQT3.K7.A87 982.K4.A8543.KJ3:55555555666677774444
5.Q872.QT74.J965 A43.T9654.532.82 9862.AJ.AKJ.KQ73 KQJT7.K3.986.AT4:76768888656544443333
A97.764.J754.953 KQ854.T9853..K82 6.AKQ.AKT62.AJT7 JT32.J2.Q983.Q64:54548888666632324443
AKJ5.3.87432.A76 Q.AJ97652.KQJ.JT T9843.8.AT9.Q842 762.KQT4.65.K953:76764444AAAA44446565
QT9642.A.AJ9.J73 AJ5.9643.53.AQ95 73.QT5.K8764.642 K8.KJ872.QT2.KT8:97986666AAAA6666A9A9
AKT3.842.9543.J9 Q742.AJ965.KJ7.7 J965..QT2.QT8532 8.KQT73.A86.AK64:AAA97676CCCC98987776
A54.9876.87.6543 QT986.QJT4.T94.A J72.AK3.Q3.KJ982 K3.52.AKJ652.QT7:9999A9A98787AAAA6666
K9843.82.KJ3.KJ4 J65.JT643.865.65 AQ72.K97.A92.QT8 T.AQ5.QT74.A9732:33433333777744545565
A953.J96.T43.J95 T6.Q53.K76.AQ842 QJ7.AKT874.QJ2.K K842.2.A985.T763:44445555444377768888
KQ9.752.Q987.J53 AT65.KQ986.AK5.A 8742.J.T32.KT986 J3.AT43.J64.Q742:AAAAAAAACCCC99998888
J53.AK96.J8.8654 K6.JT872.AKQT.KT AQT.53.9762.AQ72 98742.Q4.543.J93:55555555656565653333
J52.J9875.K94.Q4 KQT86.QT3.QJ.973 A94.AK4.AT8.AJT2 73.62.76532.K865:21214444212133332121
K642.AJ6.A73.QT9 A98.KQ8752.K52.8 J75.T943.Q64.743 QT3..JT98.AKJ652:888888889889AAAAAAAA
A64.AQJT.KQ9852. Q9.K986.73.QJ932 JT875.5432.4.AT6 K32.7.AJT6.K8754:77774444544455559999
3.AT6.85.AK86542 JT742.84.KQJ3.Q9 KQ985.J532.T92.7 A6.KQ97.A764.JT3:76767676767688886566
KQ65.K52.AT83.93 A973.Q964.Q6.JT5 J84.JT7.975.A742 T2.A83.KJ42.KQ86:88887777888877779999
JT4.T9653.AQ3.A3 8652.J2.876.KT94 AQ3.74.JT542.J85 K97.AKQ8.K9.Q762:65657777666644449898
AJ732.K5.T4.J832 65.73.A98732.KT9 QT8.AQ964.QJ5.A7 K94.JT82.K6.Q654:43433333434377775555
KQ93.9.T87.K9863 T8.8632.J93.QJ75 A76542.AQT.62.T4 J.KJ754.AKQ54.A2:65653333AAAA98987676
K32.T.KQJ5.AJ542 A5.965432.T943.7 JT874.QJ8.A6.KQ3 Q96.AK7.872.T986:33333333767633332222
62.4.AKQ754.7643 KJ9.KJT6.T2.KQT9 Q8543.2.96.AJ852 AT7.AQ98753.J83.:A6A67777CBCB75755454
J42.K93.T942.754 Q65.A8.KQJ8.JT92 AK8.QJT762.3.AK6 T973.54.A765.Q83:55557676444488887777
986.K3.KJ54.J765 AT74.A.A83.AKT82 KJ2.JT97642.T6.Q Q53.Q85.Q972.943:AAAABBBB6666AAAABBBB
3.A9732.AJ832.52 AJ9654.65.6.AQJT KT72.84.KQ974.K9 Q8.KQJT.T5.87643:55558898555533339999
AQT9.T96.A954.A8 K84.732.JT863.J2 753.A54.K7.QT653 J62.KQJ8.Q2.K974:55555555656566665555
864.A84.KJ9.T984 5.KT.A6532.KQ765 AKQ932.975.QT7.2 JT7.QJ632.84.AJ3:6666444497979898AAAA
Q97.Q872.A42.QJ6 32.J53.KQT5.AT73 AKJ65.96.97.9542 T84.AKT4.J863.K8:77776666888899997777
AKJ982.6543.63.K Q.972.KJ95.87532 T754.QJ.AQ82.T96 63.AKT8.T74.AQJ4:9595333399998787B9B9
AKJ7.9.AJ53.KT32 3.AKQJT63.K6.AQ4 Q9854.75.T974.J7 T62.842.Q82.9865:A7A74444AAAA44447777
Q.KQJ9732.Q6.K96 KJ64.4.985.J8432 A952.A.AKJ7.AQT5 T873.T865.T432.7:00004444000000001111
87543.Q5.Q6.A742 QJ62.64.KT8753.6 AKT9.A.A94.QJT85 .KJT98732.J2.K93:32323222999976762222
JT9.7.J7432.T765 Q854.A2.T9.J9842 K73.KJT5.AKQ5.AK A62.Q98643.86.Q3:44435554555522225555
K73.A9863.4.AQT2 T94.Q54.KJ75.K86 Q8652.KT2.T96.95 AJ.J7.AQ832.J743:76764444444488887677
K65.T976.753.976 A8742.K32.AQJ.J5 Q93.A85.K942.AQ2 JT.QJ4.T86.KT843:888888987787889799A9
AQ86532.96.J85.4 7.AKQ852.A3.JT52 94.74.9742.AK963 KJT.JT3.KQT6.Q87:A9A96565B9B9A9A99898
KQ9.Q983.Q4.AT85 T732.K7642..KQJ2 86.J.AKJ976532.7 AJ54.AT5.T8.9643:33339999989822228888
975.K75.JT54.743 KT84.84.KQ83.962 632.QJT63..AKQJT AQJ.A92.A9762.85:A8A8A9A94444AAAA4444
J42.A9532.K65.83 Q.KJ86.QJT7.AJ42 K85.Q.A82.QT9765 AT9763.T74.943.K:98988787889898986666
KJ52.7.T.AJT8742 A976.AQ86.Q8632. T.T95432.J75.K96 Q843.KJ.AK94.Q53:A6A6CACA9999CCCC4444
AKT94.Q6543.2.J6 QJ.97.AJ865.A842 652.AJ82.Q7.Q753 873.KT.KT943.KT9:77774444444499998888
K2.QJ6.97643.983 JT7.AKT92.T5.J76 AQ94.873.AK8.KT5 8653.54.QJ2.AQ42:77777676877764647777
T63.AQT84.AKJ4.K A752.6.87632.A82 KQJ84.K97.5.QJ95 9.J532.QT9.T7643:22222222424264645454
T82.865.A3.AK643 .AQT732.QJT964.2 AQJ6543.KJ4.75.7 K97.9.K82.QJT985:747433339999BABA8787
9732.532.72.KT53 84.AT87.AJT95.J7 AK.QJ9.K863.A642 QJT65.K64.Q4.Q98:77777777777777774444
K7.65.Q4.AKQJ653 9865.AKT2.A83.T7 AQJT..JT9752.842 432.QJ98743.K6.9:92924242999922222020
Q84.8.Q983.J9864 AT732.75.A64.AQ7 KJ.KJT92.KT752.K 965.AQ643.J.T532:7777AAAA777744448888
643.K7.AKT3.AT43 52.AQ952.Q2.QJ75 AQ8.JT863.86.K96 KJT97.4.J9754.82:55557666444477775555
J9542.J9.3.AK632 QT3.QT63.K7654.T 86.AK7542.Q.Q987 AK7.8.AJT982.J54:969665655554BBBB4343
A4.743.Q8643.J74 KQJ.KQT92.JT2.82 9862.A86.7.AKQ63 T753.J5.AK95.T95:66667777878777775555
964.T942.8.AKJ94 K75.8653.Q73.QT2 AQJ3.AQJ7.AT54.7 T82.K.KJ962.8653:22211110000044442121
T764.J854.T84.53 Q82.T32.J93.AQ97 AJ5.K97.762.JT62 K93.AQ6.AKQ5.K84:BBBB99999999BBBBAAAA
KJ983.KJ87.AQ.93 T54.QT9652.K5.52 A76.3.JT832.KQ76 Q2.A4.9764.AJT84:43533343666643436666
AK98.KJ9.AQ9.AKT 52.AT64.K42.J653 QT73.Q8732..Q984 J64.5.JT87653.72:21112121111177772121
AJ2.2.AQ983.QJ63 Q5.J86.2.AKT9842 9843.AK7543.K7.7 KT76.QT9.JT654.5:54444444434344447777
A5.KQ2.T842.KQ74 K73.J653.J3.A965 T862.A874.KQ96.8 QJ94.T9.A75.JT32:55556666545433337777
K8652.T876.Q843. AT.542.JT965.J94 Q97.AJ9.K72.QT63 J43.KQ3.A.AK8752:879655555565777699A9
AT763.62.AQT2.92 42.KJ4.KJ874.KJ3 J9.9875.95.A7654 KQ85.AQT3.63.QT8:99997777999999998888
A96.3.AQ832.QT32 Q84.KT52.976.875 J5.AQ94.KJT.AKJ9 KT732.J876.54.64:11114444545411110000
T3.AJ3.AQT983.84 KQ6.KT872.752.K5 J98542.Q94.J.AQ6 A7.65.K64.JT9732:55554444666544447777
K76.J53.T52.9764 AQ932.T742.Q7.AT T5.K986.J643.KQ5 J84.AQ.AK98.J832:CCCCDDDDBABABBBBBBBB
A6.AKT96.K.AJ652 T972.Q732.Q6.KT9 KJ54..AJT9753.83 Q83.J854.842.Q74:11113333444400002222
KJ4.T853.832.K76 9653.AK.AKT64.53 A82.J74.J5.AQ842 QT7.Q962.Q97.JT9:85857777767698985555
T975.J4.AKJ74.T4 KJ.Q982.QT52.AK9 A62.AK76.963.J75 Q843.T53.8.Q8632:87777676877765658787
K8.7.AKQJ642.Q72 Q732.54.T7.AT954 A964.J93.95.KJ86 JT5.AKQT862.83.3:84846666989832324343
832.KT.8543.J764 Q.QJ86.AQ92.AQ85 KJ95.A7542.K6.T3 AT764.93.JT7.K92:999977778888A9A99999
A9874.A.94.T6532 KJ5.J82.AKQ7.A98 Q2.K7543.J8532.J T63.QT96.T6.KQ74:99997777888888888787
K72.Q5.AJT6.KJ94 T654.AJ43.K.T873 83.KT8.Q8432.A62 AQJ9.9762.975.Q5:42426666666622223333
K743.AKT532.AQ.A QT965.QJ97.5.JT7 .8.KJT76432.KQ52 AJ82.64.98.98643:10106666333300004444
KQ8.A74.94.KQ862 AJT6.J983.J8.A97 97432..KQT52.J53 5.KQT652.A763.T4:88885555AAAA65655555
A.A832.KQJT7.T32 T942.954.43.AJ54 KJ87.KJ.86.Q9876 Q653.QT76.A952.K:44446666555533333333
QJT2.QT94.2.KQ74 K75.K8752.AKT7.8 963.AJ6.QJ94.J52 A84.3.8653.AT963:757576767777A9A97777
A2.KQ2.AQT9753.8 QT753.64..AKQ732 96.J87.KJ642.JT6 KJ84.AT953.8.954:7575BBBBA9A93333BBBB
A86432.63.542.82 T975.KJ94.K63.K9 Q.Q87.QJT7.AJT74 KJ.AT52.A98.Q653:AABA8888BABA88888787
T984.JT8.QT8.T94 K753.Q2.AJ9542.J AJ62.A97.6.K7652 Q.K6543.K73.AQ83:A9A97777AAAABBBB7777
QT54.A432..KQJT6 93.Q.AKQT987.A42 76.JT986.53.9873 AKJ82.K75.J642.5:BBBBAAAA6565DCDC5454
A65.Q5.K742.A872 84.JT943.QJ63.Q9 J972.AK86.85.J54 KQT3.72.AT9.KT63:66666565666677776566
